
PREC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;;100;;150;;200;;250;;300;;350;;400;;450;;500;;550;;600;;650;;700;;750;;800;;
CLASSIFIERS;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class
TDABC-AVERAGE;0.6312629101215352;0.6575875486381323;0.7851317342944137;0.7706766917293233;0.7098684210526316;0.55;0.7249069263817703;0.5478927203065134;0.7153432968745652;0.5057471264367817;0.7129806800340044;0.5146443514644351;0.5921517199636841;0.2608695652173913;0.7198036006546644;0.5319148936170213;0.6578197721072059;0.3694029850746269;0.5638277891397805;0.21052631578947367;0.6599072170949816;0.35390946502057613;0.5726348530394121;0.21875;0.5870726495726496;0.22692307692307692;0.5506277914559188;0.13937282229965156;0.5282666666666667;0.088;0.5381406608271061;0.11570247933884298;
TDABC-MAXIMAL;0.7149925541624633;0.7509727626459144;0.8129388554029702;0.793233082706767;0.7098684210526316;0.55;0.7213679981714569;0.5478927203065134;0.7152412494317812;0.5095785440613027;0.7129806800340044;0.5146443514644351;0.5921517199636841;0.2608695652173913;0.7335568343804446;0.5276595744680851;0.6661785160220404;0.3843283582089552;0.5796638702227417;0.20175438596491227;0.6599072170949816;0.35390946502057613;0.6007340201235805;0.25390625;0.6064933523266857;0.2423076923076923;0.552119418723167;0.156794425087108;0.5277333333333334;0.088;0.5381406608271061;0.11570247933884298;
TDABC-RANDOMIZED;0.6894765496148981;0.708171206225681;0.8103134903374138;0.8045112781954887;0.7098684210526316;0.55;0.7201709222907926;0.5363984674329502;0.7190726670563024;0.5172413793103449;0.7129806800340044;0.5146443514644351;0.5921517199636841;0.2608695652173913;0.7315717227179135;0.5276595744680851;0.6560276574118654;0.3694029850746269;0.5715597479026671;0.21052631578947367;0.6599072170949816;0.35390946502057613;0.5981781270875084;0.2578125;0.5923076923076923;0.23461538461538461;0.552119418723167;0.156794425087108;0.5277333333333334;0.088;0.5381406608271061;0.11570247933884298;
KNN;0.7496757457846952;0.8326848249027238;0.8680093829615361;0.8909774436090225;0.7289473684210527;0.55;0.7773768154682349;0.6245210727969349;0.7354095349419721;0.5402298850574713;0.7894159704703859;0.6443514644351465;0.6407158949527556;0.3115942028985507;0.6650071273955969;0.3702127659574468;0.6229805274701761;0.26119402985074625;0.5921783046036979;0.21052631578947367;0.6787884487074427;0.39094650205761317;0.5563862099198397;0.1328125;0.5415954415954416;0.09615384615384616;0.5280476234076312;0.06620209059233449;0.5012;0.004;0.5034538361293941;0.012396694214876033;
WKNN;0.7557364974139726;0.8365758754863813;0.8646228173740136;0.8759398496240601;0.7351973684210527;0.5625;0.7647649043695206;0.6053639846743295;0.7322831723766849;0.5363984674329502;0.7611089112200903;0.5983263598326359;0.6362940919331518;0.3079710144927536;0.7081991447125284;0.4595744680851064;0.6437235863692291;0.31343283582089554;0.5521342014830892;0.14035087719298245;0.6765494789917472;0.3868312757201646;0.5483049432197729;0.125;0.5434354226020893;0.10384615384615385;0.5431495319862237;0.0975609756097561;0.49506666666666665;0.0;0.540534633212913;0.09504132231404959;
LSVM;0.7488510992618213;0.7898832684824902;0.7903669297209968;0.706766917293233;0.6808114035087719;0.44583333333333336;0.7108596864358518;0.47126436781609193;0.6491052294675906;0.3563218390804598;0.5893697266073896;0.2217573221757322;0.4882519587074213;0.007246376811594203;0.5020273480808828;0.03829787234042553;0.5326057882629862;0.08582089552238806;0.5243454095190395;0.05701754385964912;0.523428579105039;0.06172839506172839;0.4961081016199065;0.00390625;0.49243827160493825;0.0;0.49783424776205604;0.0;0.49773333333333336;0.0;0.5036486943468435;0.01652892561983471;
SVM;0.7181710461001425;0.7120622568093385;0.8144301870378425;0.7631578947368421;0.668201754385965;0.4166666666666667;0.7477365968178702;0.5632183908045977;0.7200745874036347;0.5402298850574713;0.6781953263238345;0.4351464435146444;0.5365177040250176;0.08695652173913043;0.6329496858666386;0.3021276595744681;0.5743961643395924;0.17164179104477612;0.4994052339413164;0.0;0.5119269916755106;0.03292181069958848;0.5269588656479626;0.05859375;0.500534188034188;0.0038461538461538464;0.5;0.0;0.5;0.0;0.49925149700598803;0.0;
RF;0.7108773278250149;0.7509727626459144;0.851363947057727;0.8308270676691729;0.7315789473684211;0.55;0.7673992461133774;0.6015325670498084;0.7543671666991363;0.5708812260536399;0.7248933206693453;0.5146443514644351;0.6034626248360738;0.2608695652173913;0.7321366348133678;0.5148936170212766;0.6386448135665758;0.31716417910447764;0.5457413358932621;0.12280701754385964;0.672490226897191;0.37037037037037035;0.5769990501837008;0.19140625;0.5882003798670465;0.19615384615384615;0.5639206303370323;0.14285714285714285;0.52;0.06;0.5833848831263093;0.19421487603305784;
AVERAGE;0.7148804662855679;0.754863813229572;0.8246471680233642;0.8045112781954887;0.7092927631578947;0.5218750000000001;0.7418228870061093;0.5622605363984674;0.7176121130314584;0.5095785440613028;0.7102406619241324;0.4947698744769874;0.5852121792931841;0.21965579710144928;0.6781565123277546;0.4090425531914893;0.6240471031937089;0.2840485074626866;0.5536069865881993;0.14418859649122806;0.6303631720827344;0.2880658436213992;0.5595380213552104;0.1552734375;0.5565096747388414;0.13798076923076924;0.5359773327993995;0.09494773519163763;0.5122166666666667;0.041;0.5305869407878457;0.08316115702479339;
