
PREC;;;;;;;;;;;;;;;;;
;NORMAL;;SPHERE;;SWISSROLL;;WINE;;CANCER;;CIRCLES;;IRIS;;MOON;;
CLASSIFIERS;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class
TDABC-AVERAGE;0.5103333333333333;0.1;0.5668111291947608;0.4166666666666667;0.9216787819704361;0.9487179487179487;0.9697231005078087;0.9795918367346939;0.930391588489512;0.930391588489512;0.62;0.62;0.9533333333333333;0.9533333333333333;0.53;0.53;
TDABC-MAXIMAL;0.5806666666666667;0.3;0.5165882352941176;0.25;0.8859717877635814;0.8974358974358975;0.9671361502347419;1.0;0.9388637082323179;0.9388637082323179;0.62;0.62;0.9466666666666667;0.9466666666666667;0.535;0.535;
TDABC-RANDOMIZED;0.5026333333333333;0.16;0.5666012245214291;0.36666666666666664;0.8947306749406451;0.9025641025641026;0.9503315128868448;0.9877551020408163;0.9296590070622958;0.9296590070622958;0.592;0.592;0.9586666666666667;0.9586666666666667;0.558;0.558;
KNN;0.576;0.1;0.4068235294117647;0.0;0.9377742109235699;1.0;0.950943757784804;0.9795918367346939;0.9445425318857383;0.9445425318857383;0.45999999999999996;0.45999999999999996;0.9733333333333333;0.9733333333333333;0.485;0.485;
WKNN;0.5730000000000001;0.1;0.4748235294117647;0.0;0.9562890868774314;1.0;0.950943757784804;0.9795918367346939;0.9445425318857383;0.9445425318857383;0.48;0.48;0.9666666666666667;0.9666666666666667;0.515;0.515;
LSVM;0.6185666666666666;0.16;0.4884862745098039;0.16666666666666666;0.891617600185873;0.9282051282051282;0.9632285778161029;0.9795918367346939;0.9297143459470856;0.9297143459470856;0.688;0.688;0.9586666666666667;0.9586666666666667;0.448;0.448;
RF;0.3932;0.0;0.5327450980392158;0.11666666666666667;0.9149247166340482;0.9435897435897436;0.9872769953051644;1.0;0.9505323073679772;0.9505323073679772;0.6000000000000001;0.6000000000000001;0.9493333333333333;0.9493333333333333;0.492;0.492;
AVERAGE;0.5363428571428571;0.13142857142857142;0.5075541457689795;0.18809523809523812;0.9147124084707979;0.9457875457875459;0.9627976931886101;0.9865889212827988;0.9383208601243808;0.9383208601243808;0.5800000000000001;0.5800000000000001;0.9580952380952381;0.9580952380952381;0.509;0.509;
;;;;;;;;;;;;;;;;;
TNR;;;;;;;;;;;;;;;;;
;NORMAL;;SPHERE;;SWISSROLL;;WINE;;CANCER;;CIRCLES;;IRIS;;MOON;;
CLASSIFIERS;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class
TDABC-AVERAGE;0.8921269502158677;0.9556650246305419;0.9728542322485575;0.9883720930232558;0.9829929862902452;0.991701244813278;0.9826260655471164;0.9921259842519685;0.9414189189189188;0.9414189189189188;0.6201923076923077;0.6201923076923077;0.9766976697669767;0.9766976697669767;0.5300480769230769;0.5300480769230769;
TDABC-MAXIMAL;0.8979906954472513;0.9665071770334929;0.9799042062199348;0.985172981878089;0.9742822690644922;0.9829059829059829;0.9798850574712644;1.0;0.948073611708997;0.948073611708997;0.6201923076923077;0.6201923076923077;0.9733333333333333;0.9733333333333333;0.535031528375538;0.535031528375538;
TDABC-RANDOMIZED;0.8654027958411306;0.9562955254942768;0.9746153367707928;0.9874421678783873;0.976855707165026;0.9839527027027027;0.9708739224290538;0.9950819672131147;0.9390688821674164;0.9390688821674164;0.592;0.592;0.9793646031269794;0.9793646031269794;0.5580148518020613;0.5580148518020613;
KNN;0.9138762371549657;0.958904109589041;0.974045697688755;0.9798994974874372;0.9859210403598545;1.0;0.9716489472587034;0.991869918699187;0.949949322522138;0.949949322522138;0.4565972222222222;0.4565972222222222;0.9866666666666667;0.9866666666666667;0.4848162769511084;0.4848162769511084;
WKNN;0.9145955374412822;0.9590909090909091;0.9787523573345522;0.980327868852459;0.9903576501847541;1.0;0.9716489472587034;0.991869918699187;0.949949322522138;0.949949322522138;0.48;0.48;0.9833650031669833;0.9833650031669833;0.515001500150015;0.515001500150015;
LSVM;0.942045467187058;0.9641025641025641;0.9783342113889443;0.983460138934833;0.9767799229907227;0.9880647911338448;0.9789980873194647;0.9920508744038156;0.9345754342876148;0.9345754342876148;0.6884341522868689;0.6884341522868689;0.9793345840050027;0.9793345840050027;0.4479166666666667;0.4479166666666667;
RF;0.8727323062381229;0.9455930359085963;0.9799892320697117;0.9826457105435494;0.9816588508120332;0.9908180300500835;0.9922750120161954;1.0;0.9575702167201223;0.9575702167201223;0.6009301724694787;0.6009301724694787;0.9746666666666667;0.9746666666666667;0.4919988478340881;0.4919988478340881;
AVERAGE;0.899824284217954;0.9580226208356317;0.9769278962458926;0.9839029226568586;0.9812640609810183;0.9910632502294131;0.9782794341857859;0.9947140947524675;0.9458008155496208;0.9458008155496208;0.5797637374804551;0.5797637374804551;0.9790612181046585;0.9790612181046585;0.5089753926717935;0.5089753926717935;
;;;;;;;;;;;;;;;;;
FPR;;;;;;;;;;;;;;;;;
;NORMAL;;SPHERE;;SWISSROLL;;WINE;;CANCER;;CIRCLES;;IRIS;;MOON;;
CLASSIFIERS;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class;GLOBAL;Minority class
